epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.825,2.01227,1.96261,1.57867,0.69466,0.65423,0.69069,0.35176,1.70913,1.31458,1.45862,0.000416412,0.000416412,0.000416412
2,391.547,1.71519,1.26986,1.37917,0.91428,0.65884,0.72946,0.3927,1.60387,1.09756,1.37753,0.000816583,0.000816583,0.000816583
3,585.691,1.67232,1.1683,1.36371,0.92718,0.67731,0.74689,0.42838,1.53612,0.98671,1.32728,0.00120025,0.00120025,0.00120025
4,778.807,1.62918,1.11191,1.33917,0.89657,0.68493,0.73532,0.42736,1.52104,1.01391,1.34238,0.00117575,0.00117575,0.00117575
5,978.24,1.59755,1.05207,1.3218,0.73958,0.73049,0.74653,0.4218,1.5684,0.94262,1.35449,0.001151,0.001151,0.001151
6,1203.07,1.57279,1.02216,1.30929,0.95162,0.6773,0.7636,0.44071,1.5144,0.94589,1.32341,0.00112625,0.00112625,0.00112625
7,1402.58,1.52924,0.99437,1.28925,0.73225,0.745,0.76481,0.45438,1.44446,0.8854,1.2845,0.0011015,0.0011015,0.0011015
8,1596.1,1.51888,0.96351,1.28113,0.93706,0.69618,0.7678,0.45839,1.4407,0.91156,1.29026,0.00107675,0.00107675,0.00107675
9,1796.55,1.50129,0.95328,1.26746,0.86042,0.751,0.77987,0.46964,1.41033,0.8778,1.27135,0.001052,0.001052,0.001052
10,2003.18,1.47322,0.93003,1.25809,0.88357,0.72528,0.76636,0.45849,1.41344,0.90567,1.28439,0.00102725,0.00102725,0.00102725
11,2196.71,1.46995,0.92241,1.25429,0.87846,0.73143,0.77333,0.47632,1.42551,0.84951,1.2724,0.0010025,0.0010025,0.0010025
12,2428.71,1.4538,0.90291,1.24637,0.79227,0.76208,0.79101,0.48261,1.3965,0.82435,1.26614,0.00097775,0.00097775,0.00097775
13,2652.84,1.44655,0.89981,1.24395,0.71335,0.76456,0.7818,0.47516,1.39378,0.82645,1.25671,0.000953,0.000953,0.000953
14,2859.56,1.43933,0.88586,1.24095,0.76406,0.78417,0.801,0.48815,1.36986,0.83066,1.24675,0.00092825,0.00092825,0.00092825
15,3059.06,1.40526,0.86599,1.22886,0.84334,0.74347,0.77866,0.49194,1.38266,0.79207,1.26301,0.0009035,0.0009035,0.0009035
16,3260.63,1.40193,0.86049,1.22101,0.78876,0.7525,0.78568,0.48629,1.37331,0.79557,1.24391,0.00087875,0.00087875,0.00087875
17,3462.17,1.39823,0.86108,1.22563,0.76089,0.759,0.7889,0.49886,1.35974,0.79213,1.23903,0.000854,0.000854,0.000854
18,3651.26,1.38527,0.84107,1.21292,0.78551,0.7775,0.79417,0.50122,1.3702,0.75177,1.24621,0.00082925,0.00082925,0.00082925
19,3869.61,1.37366,0.83581,1.20905,0.79859,0.7725,0.78949,0.49837,1.33517,0.77253,1.23158,0.0008045,0.0008045,0.0008045
20,4072.15,1.367,0.82568,1.20067,0.81396,0.78,0.79619,0.51303,1.32634,0.76418,1.22001,0.00077975,0.00077975,0.00077975
21,4282.01,1.36243,0.82545,1.20427,0.75956,0.785,0.7948,0.50318,1.36647,0.7617,1.24257,0.000755,0.000755,0.000755
22,4485.91,1.35132,0.81688,1.19786,0.85557,0.7875,0.81188,0.50708,1.34011,0.76382,1.22799,0.00073025,0.00073025,0.00073025
23,4682.22,1.3316,0.80319,1.19074,0.83546,0.7925,0.80944,0.50966,1.31916,0.74304,1.22726,0.0007055,0.0007055,0.0007055
24,4877.95,1.32945,0.80202,1.18567,0.82814,0.7925,0.80415,0.51745,1.30487,0.71585,1.21329,0.00068075,0.00068075,0.00068075
25,5088.44,1.3272,0.79269,1.18646,0.76887,0.79,0.79483,0.50635,1.31921,0.75175,1.22005,0.000656,0.000656,0.000656
26,5295.8,1.31137,0.78985,1.18047,0.82666,0.7775,0.80102,0.52212,1.28548,0.73062,1.20177,0.00063125,0.00063125,0.00063125
27,5500.99,1.31202,0.78372,1.18028,0.8132,0.79,0.81447,0.52929,1.29472,0.71481,1.20356,0.0006065,0.0006065,0.0006065
28,5702.54,1.29903,0.77519,1.17093,0.88169,0.78703,0.81908,0.52981,1.29185,0.72012,1.20165,0.00058175,0.00058175,0.00058175
29,5903.53,1.28887,0.76365,1.16961,0.81422,0.79,0.80703,0.52317,1.28449,0.72918,1.19954,0.000557,0.000557,0.000557
30,6104.64,1.28809,0.76348,1.16736,0.86632,0.78646,0.81898,0.52772,1.28523,0.71207,1.1998,0.00053225,0.00053225,0.00053225
31,6305.72,1.27267,0.75229,1.16115,0.80739,0.8125,0.82067,0.52369,1.27703,0.71752,1.19907,0.0005075,0.0005075,0.0005075
